DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下7.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下8.Z-3 | 护型=丙 | 日ZA=-3
DXAB=b乙↗上9.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上10.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上11.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上12.A4 | 护型=乙 | 日ZA=4
DXAB=c丙↘下13.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-11.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-12.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-13.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-14.Z-15 | 护型=丁 | 日ZA=-15
DXAB=y戊↘忠-15.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-16.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-17.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忠-18.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-19.B2暂 | 护型=己 | 日ZA=2
DXAB=r己↗忐-20.B3暂 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上6.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上7.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上8.A11 | 护型=甲 | 日ZA=11
DXAB=b乙→中9.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中10.Z-2 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下11.Z-3 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下12.Z-4 | 护型=丙 | 日ZA=-4
DXAB=c丙↘下13.Z-5 | 护型=丙 | 日ZA=-5
DXAB=b乙↗上14.I | 护型=乙 | 日ZA=1
DXAB=b乙↗上15.B2 | 护型=乙 | 日ZA=2
DXAB=b乙↗上16.B3 | 护型=乙 | 日ZA=3
DXAB=b乙↗上17.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上18.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上19.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上20.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上21.A8 | 护型=乙 | 日ZA=8
DXAB=b乙↗上22.A9 | 护型=乙 | 日ZA=9
DXAB=b乙→中23.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下24.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下25.Z-3 | 护型=丙 | 日ZA=-3
DXAB=c丙↘下26.Z-4 | 护型=丙 | 日ZA=-4
DXAB=b乙→中27.Z-5 | 护型=乙 | 日ZA=-5
DXAB=c丙↘下28.Z-6 | 护型=丙 | 日ZA=-6
DXAB=z丁↘忑-1.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-2.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-3.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-4.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-5.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-6.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-7.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-8.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-9.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-10.Z-16 | 护型=丁 | 日ZA=-16
DXAB=y戊↘忠-11.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-12.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-13.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-14.I暂 | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-15.B2暂 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-16.B3暂 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-17.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忑-18.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-19.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-20.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-21.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-22.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-23.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-24.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-25.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-26.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-27.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-28.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-29.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-30.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-31.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-32.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-33.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忑-34.Z-17 | 护型=戊 | 日ZA=-17
DXAB=y戊↘忑-35.Z-18 | 护型=戊 | 日ZA=-18
DXAB=y戊↘忑-36.Z-19 | 护型=戊 | 日ZA=-19
DXAB=y戊↘忑-37.Z-20 | 护型=戊 | 日ZA=-20
DXAB=y戊↘忑-38.Z-21 | 护型=戊 | 日ZA=-21
DXAB=y戊↘忑-39.Z-22 | 护型=戊 | 日ZA=-22
DXAB=y戊↘忠-40.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-41.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-42.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忑-43.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-44.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=r己↗忐-45.I暂 | 护型=己 | 日ZA=1
DXAB=r己↗忐-46.B2暂 | 护型=己 | 日ZA=2
DXAB=r己↗忐-47.B3暂 | 护型=己 | 日ZA=3
DXAB=r己↗忐-48.A4 | 护型=己 | 日ZA=4
DXAB=y戊↘忑-49.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-50.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-51.Z-3 | 护型=戊 | 日ZA=-3
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下6.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-6.B2 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=c丙↘下5.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-11.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-12.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-13.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-14.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-15.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-16.Z-17 | 护型=丁 | 日ZA=-17
DXAB=y戊↘忠-17.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-18.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-19.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-20.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-21.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-22.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-23.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-24.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-25.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-26.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-27.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-28.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-29.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-30.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-31.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忑-32.Z-14 | 护型=戊 | 日ZA=-14
DXAB=y戊↘忑-33.Z-15 | 护型=戊 | 日ZA=-15
DXAB=y戊↘忑-34.Z-16 | 护型=戊 | 日ZA=-16
DXAB=y戊↘忠-35.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-36.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-37.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-38.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-39.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忠-40.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-41.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-42.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忠-43.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-44.B2暂 | 护型=己 | 日ZA=2
DXAB=r己↗忐-45.B3暂 | 护型=己 | 日ZA=3
DXAB=y戊↘忑-46.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忠-47.I暂 | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-48.Y暂 | 护型=戊 | 日ZA=-1
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上6.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上7.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上8.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上9.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上10.A5 | 护型=乙 | 日ZA=5
